Prefecture,Name,Address,Description,Location,Target,URL
神奈川県,伊勢原第1団,神奈川県伊勢原市沼目1-104-6,"主な活動場所: 団ルーム（高森）、里山訓練場（高森）
参加対象: 男女
詳細URL: https://find-local.scout.or.jp/kanagawa/isehara1/",団ルーム（高森）、里山訓練場（高森）,男女,https://find-local.scout.or.jp/kanagawa/isehara1/
神奈川県,伊勢原第2団,神奈川県伊勢原市高森　団ルーム,"主な活動場所: 伊勢原市地区コミュニケーションセンター＆市内高森の里山＆市内各公園＆大山・丹沢他
参加対象: 男女
詳細URL: https://find-local.scout.or.jp/kanagawa/isehara2/",伊勢原市地区コミュニケーションセンター＆市内高森の里山＆市内各公園＆大山・丹沢他,男女,https://find-local.scout.or.jp/kanagawa/isehara2/
神奈川県,秦野第1団,神奈川県秦野市河原町1-15,"主な活動場所: スカウト会館、秦野市内
参加対象: 男女
詳細URL: https://find-local.scout.or.jp/kanagawa/hadano1/",スカウト会館、秦野市内,男女,https://find-local.scout.or.jp/kanagawa/hadano1/
神奈川県,秦野第2団,神奈川県秦野市堀西689-2,"主な活動場所: 団ルーム、四十八瀬川、水無川上流、蓑毛キャンプ場、表丹沢野外活動センター 、渋沢丘陵、丹沢山麓
参加対象: 男女
詳細URL: https://find-local.scout.or.jp/kanagawa/hadano2/",団ルーム、四十八瀬川、水無川上流、蓑毛キャンプ場、表丹沢野外活動センター 、渋沢丘陵、丹沢山麓,男女,https://find-local.scout.or.jp/kanagawa/hadano2/
神奈川県,小田原第1団,神奈川県小田原市久野,"主な活動場所: 小田原市内（諏訪の原公園付近）
参加対象: 男
詳細URL: https://find-local.scout.or.jp/kanagawa/odawara1/",小田原市内（諏訪の原公園付近）,男,https://find-local.scout.or.jp/kanagawa/odawara1/
神奈川県,小田原第2団,神奈川県小田原市城山,"主な活動場所: 小田原市城山公園（慰霊塔）・団スカウトハウス・団城山キャンプ場
参加対象: 男女
詳細URL: https://find-local.scout.or.jp/kanagawa/odawara2/",小田原市城山公園（慰霊塔）・団スカウトハウス・団城山キャンプ場,男女,https://find-local.scout.or.jp/kanagawa/odawara2/
神奈川県,小田原第10団,神奈川県小田原市栄町,"主な活動場所: 団専用キャンプ場、尊徳記念館、梅の里ホール、諏訪の原公園
参加対象: 男女
詳細URL: https://find-local.scout.or.jp/kanagawa/odawara10/",団専用キャンプ場、尊徳記念館、梅の里ホール、諏訪の原公園,男女,https://find-local.scout.or.jp/kanagawa/odawara10/
神奈川県,小田原第12団,神奈川県小田原市前川567-3,"主な活動場所: 市役所周辺
参加対象: 男女
詳細URL: https://find-local.scout.or.jp/kanagawa/odawara12/",市役所周辺,男女,https://find-local.scout.or.jp/kanagawa/odawara12/
神奈川県,小田原第13団,神奈川県小田原市南鴨宮,"主な活動場所: マロニエ・鴨宮駅周辺
参加対象: 男女
詳細URL: https://find-local.scout.or.jp/kanagawa/odawara13/",マロニエ・鴨宮駅周辺,男女,https://find-local.scout.or.jp/kanagawa/odawara13/
神奈川県,南足柄第1団,神奈川県南足柄市和田河原,"主な活動場所: 南足柄市女性センター
参加対象: 男
詳細URL: https://find-local.scout.or.jp/kanagawa/minamiashigara1/",南足柄市女性センター,男,https://find-local.scout.or.jp/kanagawa/minamiashigara1/
神奈川県,大井第1団,神奈川県足柄上郡大井町金子,"主な活動場所: 団ハウス(大井町金子稲荷社）、野営場（大井小学校横）、新宿自治会館
参加対象: 男
詳細URL: https://find-local.scout.or.jp/kanagawa/oi1/",団ハウス(大井町金子稲荷社）、野営場（大井小学校横）、新宿自治会館,男,https://find-local.scout.or.jp/kanagawa/oi1/
神奈川県,綾瀬第1団,神奈川県綾瀬市吉岡,"主な活動場所: 綾瀬市、城山公園、光綾公園、蟹ヶ谷公園
参加対象: 男女
詳細URL: https://find-local.scout.or.jp/kanagawa/ayase1/",綾瀬市、城山公園、光綾公園、蟹ヶ谷公園,男女,https://find-local.scout.or.jp/kanagawa/ayase1/
神奈川県,海老名第1団,神奈川県海老名市さつき町6,"主な活動場所: さつき町6、門沢橋4-4-7
参加対象: 男女
詳細URL: https://find-local.scout.or.jp/kanagawa/ebina1/",さつき町6、門沢橋4-4-7,男女,https://find-local.scout.or.jp/kanagawa/ebina1/
神奈川県,海老名第3団,神奈川県海老名市上今泉2丁目4番23号,"主な活動場所: 海老名第3団野営場、近隣の公共施設
参加対象: 男女
詳細URL: https://find-local.scout.or.jp/kanagawa/ebina3/",海老名第3団野営場、近隣の公共施設,男女,https://find-local.scout.or.jp/kanagawa/ebina3/
